#----------------------------------------------------------------------- 
#                World Data Center for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#----------------------------------------------------------------------- 
# NOTE: Please cite original reference when using these data,
# plus the Online Resource and date accessed.
#
#
# Archive: Tree-ring
#--------------------
# Contribution_Date
#	Date: 2013-05-15
#--------------------
# Title
#	Study_Name:  European Alps, 755-2004 AD, maximum latewood density temperature reconstruction, European Larch
#--------------------
# Investigators
#       Investigators: Büntgen, U.; Frank, D.C.; Nievergelt, D.; Esper, J.
#--------------------
# Description_and_Notes
#	Description:  The dataset consists of 180 MXD larch [Larix decidua Mill.] series from near timberline sites (86 recent samples) and subalpine construction timbers (94 historic
#       samples) dating from 735-2004. Recent samples were collected in the Swiss Alps at elevations between 1900 and 2200 m asl. Historic buildings are located in an altitudinal belt of 1500-1900 m asl, with their construction
#       wood often originating from higher elevations: 110 samples derive from the Lötschental (1258-2004), 39 from the Simplon region (735-1510), and 31 from the Aletsch region and Simmental (1681-1986). 
#       Samples were processed using a WALESCH 2003 X-ray densitometer with a resolution of 0.01 mm, and brightness variations transferred into g cm-3 using a calibration wedge (Eschbach et al. 1995; Lenz et al.1976). 
#       The mean segment length (i.e., the average number of rings per core or disc sample) is 264 yr, with means of 239 and 289 yr for the recent and historic subsamples, respectively. 
#       Average MXD is 0.87 g cm-3, with little difference between the recent (0.90 g cm3) and historic (0.84 g cm-3) material. The mean interseries correlation of the 180 MXD series is
#       r~0.59, calculated using COFECHA (Holmes 1983). For regional tree-ring comparison, the GAR June–August temperature reconstruction for the A.D. 951-2002 period by Büntgen et al. (2005a) is used. 
#       This record combines 1527 subalpine larch and pine RW series from the Swiss and Austrian Alps. A fraction of this rather large wood collection is used for the density measurements as utilized in this current
#       study, that is, 120 of the 180 larch MXD series derive from the RW dataset.
#       
#--------------------
# Publication
#       Authors: Ulf Büntgen, David C. Frank, Daniel Nievergelt, and Jan Esper
#       Published_Date_or_Year: 2006-11-01
#       Published_Title: Summer Temperature Variations in the European Alps, A.D. 755–2004
#       Journal_Name: Journal of Climate
#       Volume: 19
#       Edition: 
#       Issue: 21
#       Pages: 5606-5623
#       Report_Number: 
#       DOI: 10.1175/JCLI3917.1
#       Publication_Place: Boston, United States
#       Publisher: American Meteorological Society
#       ISBN: 0894-8755 
#       Online_Resource: http://journals.ametsoc.org/doi/full/10.1175/JCLI3917.1
#       Other_Reference_Details: 
#       Abstract: Annually resolved summer temperatures for the European Alps are described. The reconstruction covers the A.D. 755-2004 period and is based on 180 recent and historic larch [Larix decidua Mill.] 
#       density series. The regional curve standardization method was applied to preserve interannual to multicentennial variations in this high-elevation proxy dataset. 
#       Instrumental measurements from high- (low-) elevation grid boxes back to 1818 (1760) reveal strongest growth response to current-year June–September mean temperatures. 
#       The reconstruction correlates at 0.7 with high-elevation temperatures back to 1818, with a greater signal in the higher-frequency domain (r = 0.8). Low-elevation instrumental 
#       data back to 1760 agree with the reconstruction’s interannual variation, although a decoupling between (warmer) instrumental and (cooler) proxy data before 1840 is noted. 
#       This offset is larger than during any period of overlap with more recent high-elevation instrumental data, even though the proxy time series always contains some unexplained variance. 
#       The reconstruction indicates positive temperatures in the tenth and thirteenth century that resemble twentieth-century conditions, and are separated by a prolonged cooling from 1350 to 1700. 
#       Six of the 10 warmest decades over the 755-2004 period are recorded in the twentieth century. Maximum temperature amplitude over the past 1250 yr is estimated to be 3.1°C between the warmest (1940s) 
#       and coldest (1810s) decades. This estimate is, however, affected by the calibration with instrumental temperature data. Warm summers seem to coincide with periods of high solar activity, 
#       and cold summers vice versa. The record captures the full range of past European temperature variability, that is, the extreme years 1816 and 2003, warmth during medieval and recent times, and cold in between. 
#       Comparison with regional- and large-scale reconstructions reveals similar decadal to longer-term variability.
#------------------
# Funding_Agency
#       Funding_Agency_Name: European Union
#       Grant: ALP-IMP
#------------------
# Funding_Agency
#       Funding_Agency_Name: Swiss National Science Foundation
#       Grant: NCCR Climate and EURO-TRANS (200021-105663).
#------------------
# Site_Information 
#       Site_Name: Swiss Alps
#       Location: Europe>Western Europe>Switzerland
#	Region: PAGES Euro Med 2k
#	Country: Switzerland
#	Northernmost_Latitude: 46.4
# 	Southernmost_Latitude: 46.4
# 	Easternmost_Longitude: 7.8
# 	Westernmost_Longitude: 7.8
# 	Elevation: 
#------------------
# Data_Collection
#	Collection_Name: Switzerland06 PAGES 2k
#	Earliest_Year: 755
#	Most_Recent_Year: 2004
#	Time_Unit: years AD
#	Core_Length:
#	Notes: This dataset is about Switzerland Alpine Tree ring data; PAGES ID, Eur_7; Correlation with temperature, positive, CRUTEM4v ;
#------------------
# Species
#
#	Species_Name: Larix decidua Mill.
#	Common_Name: European Larch
#------------------
#
# Chronology:
#
#----------------	
# Variables
#
	Year_AD 	year       ,    , , calendar years AD,                         ,          ,                                                     , , N
	T_recon   	Temperature, MXD, , degrees Celsius  , warm season temperatures, Tree ring, June-September temperature anomalies w.r.t 1901-2000, , N
#
#----------------
# Data
#
Year	T_recon
755	-1.51630826
756	-1.827980111
757	-2.91883159
758	-1.399431316
759	-0.97088252
760	-1.685130512
761	-0.347538818
762	-1.191650082
763	-1.165677427
764	-0.191702893
765	-0.503374744
766	-0.724142305
767	-1.087759465
768	-1.087759465
769	0.353722847
770	0.496572445
771	-0.230661874
772	-0.594279034
773	-2.451323813
774	-0.308579837
775	-0.347538818
776	-0.347538818
777	-1.126718446
778	-0.594279034
779	-0.944909866
780	-0.087812276
781	0.769285315
782	-0.464415762
783	-0.048853294
784	-1.048800483
785	0.366709174
786	-1.06178681
787	-0.282607183
788	-0.399484127
789	-0.633238015
790	-0.646224342
791	-2.035761345
792	-0.464415762
793	-0.165730238
794	0.24983223
795	0.236845903
796	-1.113732119
797	-1.295540699
798	-0.776087613
799	-1.957843382
800	-2.775981991
801	-1.24359539
802	-0.542333725
803	-0.659210669
804	-0.035866967
805	-0.308579837
806	-0.490388417
807	-0.815046595
808	-0.516361071
809	-0.438443108
810	-0.256634528
811	-0.542333725
812	0.06802365
813	0.223859575
814	-0.230661874
815	-0.983868847
816	-0.438443108
817	0.964080222
818	-1.594226222
819	-0.087812276
820	-1.620198877
821	-1.996802363
822	-0.776087613
823	-0.399484127
824	-1.269568044
825	-0.20468922
826	-0.97088252
827	-0.529347398
828	0.042050996
829	0.06802365
830	-0.594279034
831	-0.828032922
832	-0.516361071
833	-0.633238015
834	-0.087812276
835	0.236845903
836	0.184900594
837	-0.789073941
838	-0.087812276
839	0.055037323
840	-0.529347398
841	-1.438390297
842	0.15892794
843	-0.737128632
844	-0.905950885
845	-0.126771257
846	-0.815046595
847	0.184900594
848	-0.282607183
849	-0.256634528
850	0.132955286
851	-1.165677427
852	-2.788968318
853	-1.918884401
854	-1.42540397
855	-0.503374744
856	0.093996304
857	-0.711155978
858	0.314763865
859	-1.1526911
860	-0.048853294
861	-0.944909866
862	-0.633238015
863	-0.581292707
864	0.314763865
865	-1.100745792
866	-0.581292707
867	-0.802060268
868	0.042050996
869	0.24983223
870	-1.724089494
871	-3.100640169
872	-1.944857055
873	-1.633185204
874	0.392681828
875	0.06802365
876	-0.139757584
877	-0.607265361
878	0.016078341
879	0.223859575
880	0.639422043
881	0.236845903
882	-0.243648201
883	-1.074773137
884	0.301777538
885	0.353722847
886	-0.308579837
887	-0.672196996
888	0.301777538
889	0.782271642
890	0.055037323
891	-0.360525145
892	-0.685183324
893	0.600463062
894	-0.957896193
895	-2.399378504
896	-1.438390297
897	0.860189605
898	-0.724142305
899	-1.879925419
900	-1.06178681
901	-1.06178681
902	-0.256634528
903	-2.347433196
904	0.171914267
905	-0.944909866
906	-0.685183324
907	-0.750114959
908	0.418654482
909	-0.542333725
910	-0.568306379
911	-1.074773137
912	0.769285315
913	-0.347538818
914	0.405668155
915	0.691367352
916	0.548517754
917	0.093996304
918	0.081009977
919	0.106982631
920	-0.802060268
921	0.769285315
922	0.197886921
923	-0.451429435
924	0.457613464
925	0.003092014
926	0.782271642
927	-0.074825949
928	0.600463062
929	-0.035866967
930	-0.3864978
931	0.145941613
932	-0.918937212
933	0.34073652
934	-0.308579837
935	-0.47740209
936	-0.243648201
937	-0.165730238
938	-0.815046595
939	-1.659157858
940	-2.087706653
941	-0.802060268
942	-1.178663754
943	-1.69811684
944	1.444574325
945	0.132955286
946	0.119968958
947	-1.581239895
948	0.83421695
949	0.171914267
950	-0.074825949
951	-0.139757584
952	-1.217622736
953	-0.892964558
954	-0.087812276
955	0.301777538
956	0.24983223
957	0.366709174
958	-0.412470454
959	-0.412470454
960	-0.269620855
961	0.132955286
962	0.262818557
963	-0.373511472
964	0.15892794
965	0.782271642
966	0.132955286
967	0.197886921
968	0.730326333
969	-0.100798603
970	1.743259849
971	0.561504081
972	0.678381025
973	-1.438390297
974	0.262818557
975	-0.360525145
976	-1.1526911
977	0.262818557
978	0.509558772
979	0.912134913
980	0.769285315
981	1.145888801
982	1.080957166
983	0.106982631
984	0.392681828
985	-0.308579837
986	-0.217675547
987	0.081009977
988	0.574490408
989	-0.334552491
990	-0.464415762
991	-0.126771257
992	0.990052876
993	0.977066549
994	-0.451429435
995	0.34073652
996	-2.698064028
997	-1.204636409
998	0.275804884
999	-1.33449968
1000	-1.633185204
1001	-1.51630826
1002	0.236845903
1003	-1.529294587
1004	-1.905898074
1005	-0.529347398
1006	-0.373511472
1007	-0.983868847
1008	0.483586118
1009	0.574490408
1010	-1.633185204
1011	-0.724142305
1012	-1.51630826
1013	-1.048800483
1014	-0.659210669
1015	0.795257969
1016	-0.646224342
1017	-1.204636409
1018	0.379695501
1019	0.730326333
1020	-0.425456781
1021	-1.087759465
1022	-1.477349278
1023	-0.724142305
1024	-1.957843382
1025	-0.347538818
1026	0.145941613
1027	-0.555320052
1028	0.093996304
1029	-2.542228103
1030	-1.814993784
1031	0.210873248
1032	-2.762995664
1033	-0.828032922
1034	-2.970776898
1035	-1.048800483
1036	-2.022775018
1037	-1.814993784
1038	-0.931923539
1039	0.06802365
1040	-2.996749552
