Year SSA-Mean -2SE +2SE
1747 0.113 -0.681 0.907
1748 0.033 -0.761 0.827
1749 -0.177 -0.971 0.617
1750 0.033 -0.761 0.827
1751 0.293 -0.501 1.087
1752 0.213 -0.581 1.007
1753 -0.007 -0.801 0.787
1754 0.213 -0.581 1.007
1755 0.313 -0.481 1.107
1756 0.203 -0.591 0.997
1757 0.313 -0.481 1.107
1758 0.193 -0.584 0.97
1759 0.183 -0.594 0.96
1760 0.023 -0.754 0.8
1761 -0.057 -0.834 0.72
1762 0.003 -0.774 0.78
1763 -0.127 -0.904 0.65
1764 0.103 -0.674 0.88
1765 0.273 -0.504 1.05
1766 0.073 -0.704 0.85
1767 -0.157 -0.934 0.62
1768 0.193 -0.584 0.97
1769 0.453 -0.324 1.23
1770 0.063 -0.714 0.84
1771 -0.227 -1.004 0.55
1772 -0.157 -0.934 0.62
1773 -0.217 -0.994 0.56
1774 -0.297 -1.074 0.48
1775 0.343 -0.434 1.12
1776 0.453 -0.324 1.23
1777 0.333 -0.444 1.11
1778 0.183 -0.594 0.96
1779 0.733 -0.044 1.51
1780 0.343 -0.434 1.12
1781 0.153 -0.624 0.93
1782 0.323 -0.454 1.1
1783 0.493 -0.284 1.27
1784 0.103 -0.674 0.88
1785 0.573 -0.204 1.35
1786 0.183 -0.594 0.96
1787 0.193 -0.584 0.97
1788 0.063 -0.714 0.84
1789 0.423 -0.354 1.2
1790 0.343 -0.434 1.12
1791 0.193 -0.584 0.97
1792 0.153 -0.624 0.93
1793 -0.147 -0.924 0.63
1794 -0.177 -0.926 0.572
1795 -0.227 -0.976 0.522
1796 0.033 -0.716 0.782
1797 0.023 -0.726 0.772
1798 0.293 -0.456 1.042
1799 0.093 -0.656 0.842
1800 -0.077 -0.826 0.672
1801 0.193 -0.556 0.942
1802 -0.047 -0.796 0.702
1803 0.173 -0.563 0.909
1804 -0.047 -0.783 0.689
1805 -0.067 -0.803 0.669
1806 0.043 -0.693 0.779
1807 0.523 -0.213 1.259
1808 0.573 -0.163 1.309
1809 0.513 -0.223 1.249
1810 0.373 -0.363 1.109
1811 -0.157 -0.893 0.579
1812 -0.067 -0.803 0.669
1813 -0.097 -0.833 0.639
1814 -0.107 -0.843 0.629
1815 0.093 -0.643 0.829
1816 0.123 -0.613 0.859
1817 0.103 -0.633 0.839
1818 0.093 -0.643 0.829
1819 0.273 -0.41 0.956
1820 0.043 -0.64 0.726
1821 0.323 -0.36 1.006
1822 0.253 -0.43 0.936
1823 -0.007 -0.69 0.676
1824 -0.187 -0.87 0.496
1825 -0.297 -0.98 0.386
1826 -0.487 -1.17 0.196
1827 0.023 -0.66 0.706
1828 -0.157 -0.84 0.526
1829 0.173 -0.51 0.856
1830 0.253 -0.43 0.936
1831 0.233 -0.45 0.916
1832 0.153 -0.53 0.836
1833 -0.157 -0.84 0.526
1834 -0.217 -0.9 0.466
1835 -0.477 -1.16 0.206
1836 -0.507 -1.19 0.176
1837 -0.347 -1.03 0.336
1838 -0.677 -1.36 0.006
1839 -0.387 -1.07 0.296
1840 -0.467 -1.15 0.216
1841 -0.447 -1.13 0.236
1842 -0.487 -1.17 0.196
1843 -0.387 -1.07 0.296
1844 -0.557 -1.24 0.126
1845 -0.137 -0.82 0.546
1846 -0.707 -1.385 -0.029
1847 -0.097 -0.775 0.581
1848 -0.227 -0.905 0.451
1849 -0.657 -1.335 0.021
1850 -0.687 -1.365 -0.009
1851 -0.207 -0.885 0.471
1852 -0.617 -1.295 0.061
1853 -0.167 -0.845 0.511
1854 -0.547 -1.225 0.131
1855 -0.587 -1.265 0.091
1856 -0.687 -1.365 -0.009
1857 -0.517 -1.195 0.161
1858 -0.367 -1.045 0.311
1859 -0.337 -1.015 0.341
1860 -0.057 -0.735 0.621
1861 -0.397 -1.075 0.281
1862 -0.397 -1.075 0.281
1863 -0.517 -1.195 0.161
1864 -0.437 -1.115 0.241
1865 -0.467 -1.145 0.211
1866 -0.047 -0.725 0.631
1867 -0.347 -1.025 0.331
1868 -0.547 -1.225 0.131
1869 -0.467 -1.145 0.211
1870 -0.697 -1.374 -0.02
1871 -0.267 -0.944 0.41
1872 -0.487 -1.164 0.19
1873 -0.377 -1.054 0.3
1874 -0.327 -1.004 0.35
1875 -0.297 -0.974 0.38
1876 -0.387 -1.064 0.29
1877 -0.127 -0.804 0.55
1878 0.133 -0.544 0.81
1879 -0.077 -0.754 0.6
1880 -0.607 -1.288 0.074
1881 -0.277 -0.958 0.404
1882 -0.457 -1.138 0.224
1883 -0.117 -0.798 0.564
1884 0.463 -0.218 1.144
1885 0.333 -0.348 1.014
1886 -0.147 -0.828 0.534
1887 -0.327 -1.008 0.354
1888 -0.067 -0.748 0.614
1889 -0.447 -1.128 0.234
1890 -0.827 -1.508 -0.146
1891 -0.067 -0.733 0.599
1892 -0.237 -0.763 0.289
1893 -0.137 -0.663 0.389
1894 0.053 -0.473 0.579
1895 -0.287 -0.803 0.229
1896 -0.167 -0.683 0.349
1897 -0.147 -0.636 0.342
1898 0.353 -0.136 0.842
1899 0.023 -0.466 0.512
1900 0.403 -0.123 0.929
1901 0.063 -0.426 0.552
1902 0.343 -0.146 0.832
1903 -0.287 -0.776 0.202
1904 -0.807 -1.296 -0.318
1905 -0.797 -1.286 -0.308
1906 -0.127 -0.616 0.362
1907 0.023 -0.466 0.512
1908 -0.437 -0.926 0.052
1909 -0.237 -0.726 0.252
1910 -0.687 -1.176 -0.198
1911 -0.277 -0.766 0.212
1912 0.123 -0.366 0.612
1913 -0.147 -0.636 0.342
1914 0.133 -0.356 0.622
1915 -0.297 -0.786 0.192
1916 -0.507 -0.996 -0.018
1917 -0.237 -0.726 0.252
1918 -0.157 -0.646 0.332
1919 0.063 -0.426 0.552
1920 -0.027 -0.516 0.462
1921 -0.397 -0.886 0.092
1922 -0.367 -0.856 0.122
1923 -0.157 -0.646 0.332
1924 -0.477 -0.966 0.012
1925 0.163 -0.326 0.652
1926 0.153 -0.336 0.642
1927 -0.217 -0.706 0.272
1928 -0.627 -1.116 -0.138
1929 -0.027 -0.516 0.462
1930 0.183 -0.306 0.672
1931 0.283 -0.206 0.772
1932 0.213 -0.276 0.702
1933 -0.147 -0.636 0.342
1934 -0.437 -0.926 0.052
1935 -0.267 -0.756 0.222
1936 -0.357 -0.846 0.132
1937 0.103 -0.386 0.592
1938 -0.277 -0.766 0.212
1939 0.163 -0.326 0.652
1940 -0.407 -0.896 0.082
1941 -0.287 -0.776 0.202
1942 0.053 -0.436 0.542
1943 0.463 -0.026 0.952
1944 0.583 0.094 1.072
1945 1.043 0.554 1.532
1946 0.163 -0.326 0.652
1947 0.113 -0.376 0.602
1948 0.453 -0.036 0.942
1949 0.113 -0.376 0.602
1950 -0.317 -0.806 0.172
1951 -0.387 -0.876 0.102
1952 0.373 -0.116 0.862
1953 0.243 -0.246 0.732
1954 0.473 -0.016 0.962
1955 0.363 -0.126 0.852
1956 -0.567 -1.056 -0.078
1957 0.053 -0.436 0.542
1958 0.373 -0.116 0.862
1959 -0.227 -0.716 0.262
1960 0.413 -0.076 0.902
1961 0.163 -0.326 0.652
1962 -0.087 -0.576 0.402
1963 0.213 -0.276 0.702
1964 0.073 -0.416 0.562
1965 -0.127 -0.616 0.362
1966 -0.737 -1.226 -0.248
1967 -0.397 -0.886 0.092
1968 0.423 -0.066 0.912
1969 0.183 -0.306 0.672
1970 0.223 -0.266 0.712
1971 -0.647 -1.136 -0.158
1972 0.053 -0.436 0.542
1973 0.203 -0.286 0.692
1974 -0.537 -1.026 -0.048
1975 -0.177 -0.666 0.312
1976 -0.267 -0.756 0.222
1977 -0.137 -0.626 0.352
1978 0.403 -0.086 0.892
1979 0.423 -0.066 0.912
1980 0.073 -0.416 0.562
1981 0.273 -0.216 0.762
1982 -0.067 -0.556 0.422
1983 0.183 -0.306 0.672
1984 0.703 0.214 1.192
1985 0.103 -0.386 0.592
1986 0.573 0.084 1.062
1987 0.403 -0.086 0.892
1988 0.223 -0.266 0.712
1989 0.673 0.184 1.162
1990 0.523 0.034 1.012
1991 0.223 -0.266 0.712
1992 0.113 -0.376 0.602
1993 0.263 -0.226 0.752
1994 0.033 -0.456 0.522
1995 0.143 -0.346 0.632
