Year SSA-Mean -2SE +2SE
1100 -0.257 -1.124 0.61
1101 -0.677 -1.544 0.19
1102 -0.477 -1.344 0.39
1103 -0.187 -1.054 0.68
1104 0.073 -0.794 0.94
1105 -0.047 -0.914 0.82
1106 0.093 -0.774 0.96
1107 -0.307 -1.174 0.56
1108 -0.187 -1.054 0.68
1109 0.493 -0.374 1.36
1110 0.293 -0.574 1.16
1111 -0.057 -0.924 0.81
1112 -0.017 -0.884 0.85
1113 0.003 -0.864 0.87
1114 -0.297 -1.164 0.57
1115 -0.067 -0.934 0.8
1116 -0.537 -1.404 0.33
1117 -0.257 -1.124 0.61
1118 -0.377 -1.244 0.49
1119 -0.347 -1.214 0.52
1120 0.123 -0.744 0.99
1121 0.423 -0.444 1.29
1122 0.123 -0.744 0.99
1123 -0.027 -0.894 0.84
1124 -0.167 -1.034 0.7
1125 -0.337 -1.204 0.53
1126 -0.177 -1.044 0.69
1127 -0.387 -1.254 0.48
1128 -0.607 -1.474 0.26
1129 -0.457 -1.324 0.41
1130 -0.337 -1.204 0.53
1131 -0.197 -1.064 0.67
1132 -0.387 -1.254 0.48
1133 -0.737 -1.604 0.13
1134 -0.187 -1.054 0.68
1135 -0.197 -1.064 0.67
1136 0.053 -0.814 0.92
1137 -0.687 -1.554 0.18
1138 -0.437 -1.304 0.43
1139 -0.957 -1.824 -0.09
1140 -0.737 -1.604 0.13
1141 -0.357 -1.224 0.51
1142 -0.607 -1.474 0.26
1143 -0.347 -1.214 0.52
1144 -0.737 -1.604 0.13
1145 -0.237 -1.104 0.63
1146 -0.297 -1.164 0.57
1147 -0.467 -1.334 0.4
1148 -0.167 -1.034 0.7
1149 0.173 -0.694 1.04
1150 -0.017 -0.884 0.85
1151 0.033 -0.834 0.9
1152 -0.117 -0.984 0.75
1153 -0.357 -1.224 0.51
1154 -0.337 -1.204 0.53
1155 -0.227 -1.094 0.64
1156 -0.627 -1.494 0.24
1157 -0.477 -1.344 0.39
1158 -0.157 -1.024 0.71
1159 0.283 -0.584 1.15
1160 0.073 -0.794 0.94
1161 0.643 -0.224 1.51
1162 0.283 -0.584 1.15
1163 -0.207 -1.074 0.66
1164 0.463 -0.404 1.33
1165 0.043 -0.824 0.91
1166 0.043 -0.824 0.91
1167 -0.087 -0.954 0.78
1168 0.333 -0.534 1.2
1169 -0.057 -0.924 0.81
1170 -0.117 -0.984 0.75
1171 -0.107 -0.974 0.76
1172 0.093 -0.774 0.96
1173 0.003 -0.864 0.87
1174 0.083 -0.784 0.95
1175 -0.327 -1.194 0.54
1176 0.563 -0.304 1.43
1177 0.333 -0.534 1.2
1178 0.593 -0.274 1.46
1179 0.283 -0.584 1.15
1180 -0.037 -0.904 0.83
1181 0.593 -0.274 1.46
1182 0.263 -0.604 1.13
1183 0.243 -0.624 1.11
1184 0.353 -0.514 1.22
1185 0.643 -0.224 1.51
1186 0.393 -0.474 1.26
1187 0.233 -0.634 1.1
1188 -0.287 -1.154 0.58
1189 0.063 -0.804 0.93
1190 0.123 -0.744 0.99
1191 0.533 -0.334 1.4
1192 0.253 -0.614 1.12
1193 -0.067 -0.934 0.8
1194 0.493 -0.374 1.36
1195 0.523 -0.344 1.39
1196 0.263 -0.604 1.13
1197 -0.147 -1.014 0.72
1198 0.303 -0.564 1.17
1199 0.563 -0.304 1.43
1200 0.723 -0.144 1.59
1201 0.193 -0.674 1.06
1202 -0.347 -1.214 0.52
1203 -0.497 -1.364 0.37
1204 0.543 -0.324 1.41
1205 0.953 0.086 1.82
1206 0.223 -0.644 1.09
1207 0.393 -0.474 1.26
1208 0.223 -0.644 1.09
1209 -0.257 -1.124 0.61
1210 -0.077 -0.944 0.79
1211 -0.007 -0.874 0.86
1212 -0.367 -1.234 0.5
1213 -0.267 -1.134 0.6
1214 -0.277 -1.144 0.59
1215 -0.287 -1.154 0.58
1216 0.463 -0.404 1.33
1217 0.013 -0.854 0.88
1218 0.833 -0.034 1.7
1219 -0.157 -1.024 0.71
1220 0.133 -0.734 1
1221 0.033 -0.834 0.9
1222 0.163 -0.697 1.023
1223 -0.027 -0.887 0.833
1224 -0.117 -0.977 0.743
1225 0.053 -0.807 0.913
1226 0.473 -0.387 1.333
1227 -0.227 -1.087 0.633
1228 -0.037 -0.897 0.823
1229 0.113 -0.747 0.973
1230 0.213 -0.647 1.073
1231 -0.027 -0.887 0.833
1232 0.223 -0.637 1.083
1233 0.193 -0.667 1.053
1234 0.083 -0.777 0.943
1235 0.073 -0.787 0.933
1236 0.213 -0.647 1.073
1237 -0.007 -0.867 0.853
1238 0.523 -0.337 1.383
1239 0.153 -0.707 1.013
1240 0.223 -0.637 1.083
1241 -0.237 -1.097 0.623
1242 -0.407 -1.267 0.453
1243 0.183 -0.677 1.043
1244 -0.087 -0.947 0.773
1245 -0.417 -1.277 0.443
1246 0.283 -0.577 1.143
1247 -0.127 -0.987 0.733
1248 -0.767 -1.627 0.093
1249 0.033 -0.827 0.893
1250 0.433 -0.427 1.293
1251 0.023 -0.837 0.883
1252 -0.277 -1.137 0.583
1253 0.183 -0.677 1.043
1254 0.263 -0.597 1.123
1255 0.413 -0.447 1.273
1256 0.553 -0.307 1.413
1257 0.243 -0.617 1.103
1258 0.173 -0.687 1.033
1259 0.363 -0.497 1.223
1260 0.223 -0.637 1.083
1261 0.563 -0.297 1.423
1262 0.473 -0.387 1.333
1263 0.493 -0.367 1.353
1264 0.423 -0.437 1.283
1265 0.213 -0.647 1.073
1266 0.403 -0.457 1.263
1267 0.343 -0.517 1.203
1268 0.273 -0.587 1.133
1269 0.243 -0.617 1.103
1270 0.393 -0.467 1.253
1271 0.183 -0.677 1.043
1272 0.003 -0.857 0.863
1273 0.093 -0.767 0.953
1274 -0.287 -1.147 0.573
1275 0.123 -0.737 0.983
1276 0.243 -0.617 1.103
1277 -0.087 -0.947 0.773
1278 0.123 -0.737 0.983
1279 0.423 -0.437 1.283
1280 0.423 -0.437 1.283
1281 0.353 -0.507 1.213
1282 0.083 -0.777 0.943
1283 0.463 -0.397 1.323
1284 0.533 -0.327 1.393
1285 0.543 -0.317 1.403
1286 -0.007 -0.867 0.853
1287 0.113 -0.747 0.973
1288 0.103 -0.757 0.963
1289 -0.207 -1.067 0.653
1290 -0.517 -1.377 0.343
1291 -0.207 -1.067 0.653
1292 0.393 -0.467 1.253
1293 0.103 -0.757 0.963
1294 0.693 -0.167 1.553
1295 0.453 -0.407 1.313
1296 0.153 -0.707 1.013
1297 0.183 -0.677 1.043
1298 -0.067 -0.927 0.793
1299 0.413 -0.447 1.273
1300 0.123 -0.737 0.983
1301 0.113 -0.747 0.973
1302 0.233 -0.627 1.093
1303 0.173 -0.687 1.033
1304 0.193 -0.667 1.053
1305 0.573 -0.287 1.433
1306 0.473 -0.387 1.333
1307 0.543 -0.317 1.403
1308 0.383 -0.477 1.243
1309 0.303 -0.557 1.163
1310 0.353 -0.507 1.213
1311 0.493 -0.367 1.353
1312 0.553 -0.307 1.413
1313 -0.317 -1.177 0.543
1314 0.263 -0.597 1.123
1315 -0.137 -0.997 0.723
1316 0.503 -0.357 1.363
1317 0.473 -0.387 1.333
1318 0.293 -0.567 1.153
1319 0.463 -0.397 1.323
1320 0.183 -0.677 1.043
1321 0.333 -0.527 1.193
1322 0.263 -0.597 1.123
1323 0.403 -0.457 1.263
1324 0.353 -0.507 1.213
1325 0.423 -0.437 1.283
1326 0.683 -0.177 1.543
1327 0.653 -0.207 1.513
1328 0.253 -0.607 1.113
1329 0.393 -0.467 1.253
1330 0.373 -0.487 1.233
1331 0.363 -0.497 1.223
1332 0.643 -0.217 1.503
1333 0.493 -0.367 1.353
1334 0.633 -0.227 1.493
1335 -0.057 -0.917 0.803
1336 0.193 -0.667 1.053
1337 0.563 -0.297 1.423
1338 0.163 -0.697 1.023
1339 0.623 -0.237 1.483
1340 0.553 -0.307 1.413
1341 0.583 -0.277 1.443
1342 0.223 -0.637 1.083
1343 0.113 -0.747 0.973
1344 0.283 -0.577 1.143
1345 0.033 -0.827 0.893
1346 0.043 -0.817 0.903
1347 0.093 -0.767 0.953
1348 -0.147 -1.007 0.713
1349 -0.027 -0.887 0.833
1350 0.313 -0.547 1.173
1351 0.203 -0.657 1.063
1352 -0.017 -0.877 0.843
1353 0.013 -0.847 0.873
1354 -0.267 -1.127 0.593
1355 0.213 -0.647 1.073
1356 -0.187 -1.047 0.673
1357 -0.297 -1.157 0.563
1358 -0.147 -1.007 0.713
1359 0.093 -0.767 0.953
1360 0.203 -0.657 1.063
1361 -0.457 -1.317 0.403
1362 0.043 -0.817 0.903
1363 -0.267 -1.127 0.593
1364 0.033 -0.827 0.893
1365 -0.377 -1.237 0.483
1366 0.243 -0.617 1.103
1367 0.253 -0.607 1.113
1368 0.503 -0.357 1.363
1369 -0.247 -1.107 0.613
1370 0.393 -0.467 1.253
1371 -0.087 -0.947 0.773
1372 -0.027 -0.887 0.833
1373 0.313 -0.547 1.173
1374 0.123 -0.737 0.983
1375 -0.177 -1.037 0.683
1376 -0.267 -1.127 0.593
1377 0.133 -0.727 0.993
1378 -0.127 -0.987 0.733
1379 0.043 -0.817 0.903
1380 0.033 -0.827 0.893
1381 -0.147 -1.007 0.713
1382 -0.217 -1.077 0.643
1383 0.103 -0.757 0.963
1384 -0.027 -0.887 0.833
1385 -0.187 -1.047 0.673
1386 -0.227 -1.087 0.633
1387 -0.347 -1.207 0.513
1388 0.133 -0.727 0.993
1389 -0.027 -0.887 0.833
1390 -0.267 -1.127 0.593
1391 -0.207 -1.067 0.653
1392 -0.427 -1.287 0.433
1393 -0.357 -1.217 0.503
1394 -0.927 -1.787 -0.067
1395 -0.927 -1.787 -0.067
1396 -0.797 -1.657 0.063
1397 -0.607 -1.467 0.253
1398 -0.827 -1.687 0.033
1399 -0.897 -1.757 -0.037
1400 -0.257 -1.117 0.603
1401 -0.677 -1.537 0.183
1402 -0.897 -1.757 -0.037
1403 -0.527 -1.387 0.333
1404 -0.887 -1.747 -0.027
1405 -1.047 -1.907 -0.187
1406 -0.007 -0.867 0.853
1407 0.093 -0.767 0.953
1408 -0.097 -0.957 0.763
1409 -0.487 -1.347 0.373
1410 -0.577 -1.437 0.283
1411 -0.637 -1.497 0.223
1412 -0.397 -1.257 0.463
1413 -0.827 -1.687 0.033
1414 -0.487 -1.347 0.373
1415 -0.287 -1.147 0.573
1416 -0.257 -1.117 0.603
1417 -0.427 -1.287 0.433
1418 -0.447 -1.307 0.413
1419 -0.647 -1.507 0.213
1420 -0.287 -1.147 0.573
1421 -0.377 -1.237 0.483
1422 -0.197 -1.057 0.663
1423 -0.357 -1.217 0.503
1424 -0.127 -0.987 0.733
1425 -0.427 -1.287 0.433
1426 -0.357 -1.217 0.503
1427 -0.377 -1.237 0.483
1428 -0.297 -1.157 0.563
1429 -0.377 -1.237 0.483
1430 -0.557 -1.417 0.303
1431 -0.387 -1.247 0.473
1432 -0.337 -1.197 0.523
1433 -0.437 -1.297 0.423
1434 -0.437 -1.297 0.423
1435 -0.457 -1.317 0.403
1436 -0.777 -1.637 0.083
1437 -0.437 -1.297 0.423
1438 -0.217 -1.077 0.643
1439 -0.397 -1.257 0.463
1440 -0.657 -1.517 0.203
1441 -0.667 -1.527 0.193
1442 -0.607 -1.467 0.253
